sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:variable_name,ADD_INFO:variable_description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
39,All of the time (5-7 days),66,,a_emobth,k1 - Respondent was unusually bothered in past week?,0.45,APPROVED,EQUAL,Reinp,1788971385882,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971345033,
86,Rarely or none of the time (less than 1 day),1870,,a_emogo,k10 - Respondent could not get going,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972078723,
99,mmHg,2797,,adult_bp_systolic,Systolic Blood Pressure (SYS.mmHg),0.52,APPROVED,EQUAL,Reinp,1788975908229,8876,millimeter mercury column,Unit,MAPS_TO,,Reinp,1788975902282,
22,Married,953,,marital_status,Marital status,1.00,APPROVED,EQUAL,Reinp,1789033619879,4338692,Married,Observation,MAPS_TO,,<auto>,1788968818185,
58,felt hopeful about the future in past week,2897,,a_emohope,k5 - Respondent felt hopeful about the future in past week?,0.72,APPROVED,EQUAL,Reinp,1788973993014,1761675,Feeling hopeful about the future,Observation,MAPS_TO,,<auto>,1788968819144,
23,Never Married,1230,,marital_status,Marital status,1.00,APPROVED,EQUAL,Reinp,1788974544273,45881671,Never married,Meas Value,MAPS_TO,,<auto>,1788968821541,
46,Rarely or none of the time (less than 1 day),1741,,a_emomnd,k2 - Respondent had trouble focusing in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972001336,
24,Widow/Widower,378,,marital_status,Marital status,0.56,APPROVED,EQUAL,Reinp,1789033751977,4143188,Widowed,Observation,MAPS_TO,,Reinp,1789033747442,
100,Diastolic Blood Pressure,2795,,adult_bp_diastolic,Diastolic Blood Pressure (DIA.mmHg),1.00,APPROVED,EQUAL,Reinp,1788968954089,4154790,Diastolic blood pressure,Measurement,MAPS_TO,,<auto>,1788968824167,
8,15-24 years,454,,age_group,Age Grouped,0.65,APPROVED,EQUAL,Reinp,1789028763384,45876531,15 - 24 years old,Meas Value,MAPS_TO,,Reinp,1789028758202,
97,cm,2788,,adult_waist,Waist measure (cm),0.52,APPROVED,EQUAL,Reinp,1788975936542,8582,centimeter,Unit,MAPS_TO,,Reinp,1788975928118,
9,25-39 years,854,,age_group,Age Grouped,0.80,APPROVED,EQUAL,Reinp,1789028785947,45883482,25 - 39 years old,Meas Value,MAPS_TO,,Reinp,1789028781248,
53,felt that everything was an effort in past week,2903,,a_emoeff,k4 - Respondent felt that everything was an effort in past week?,0.54,APPROVED,EQUAL,Reinp,1788972782978,1761503,Feeling everything is too much of an effort,Observation,MAPS_TO,,Reinp,1788972768741,
59,All of the time (5-7 days),867,,a_emohope,k5 - Respondent felt hopeful about the future in past week?,0.45,APPROVED,EQUAL,Reinp,1788971500833,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971440458,
10,40-64 years,1258,,age_group,Age Grouped,0.81,APPROVED,EQUAL,Reinp,1789028637271,45881960,40 - 64 years old,Meas Value,MAPS_TO,,Reinp,1789028630105,
13,College,233,,education_status,Highest level of education,1.00,APPROVED,EQUAL,Reinp,1789033569586,45884846,Graduated from a college or university,Meas Value,MAPS_TO,,Reinp,1789033559887,
98,Systolic Blood Pressure,2797,,adult_bp_systolic,Systolic Blood Pressure (SYS.mmHg),1.00,APPROVED,EQUAL,Reinp,1788969014151,4152194,Systolic blood pressure,Measurement,MAPS_TO,,<auto>,1788968829969,
81,Rarely or none of the time (less than 1 day),1851,,a_emolone,k9 - Respondent felt lonely in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972069040,
47,Some or little of the time (1-2 days),870,,a_emomnd,k2 - Respondent had trouble focusing in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972355679,
14,No Schooling,371,,education_status,Highest level of education,1.00,APPROVED,EQUAL,Reinp,1788974605265,45880050,No schooling,Meas Value,MAPS_TO,,<auto>,1788968832669,
70,Occasionally or a moderate amount of time (3-4 days),354,,a_emoslp,k7 - Respondent's sleep was restless in past week?,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971815751,
