2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT_DEFINITION] [CDM Field: SUBJECT_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 476 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_DEFINITION_SUBJECT_CONCEPT_ID.txt
2025-11-09 18:35:52	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2025-11-09 18:35:52	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: COHORT] [CDM Field: COHORT_DEFINITION_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 397 An error report has been created at  dqd_output/errors/FIELD_cdmDatatype_COHORT_COHORT_DEFINITION_ID.txt
2025-11-09 18:35:52	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: COHORT] [CDM Field: SUBJECT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 387 An error report has been created at  dqd_output/errors/FIELD_cdmDatatype_COHORT_SUBJECT_ID.txt
2025-11-09 18:35:52	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: COHORT_DEFINITION] [CDM Field: COHORT_DEFINITION_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 408 An error report has been created at  dqd_output/errors/FIELD_cdmDatatype_COHORT_DEFINITION_COHORT_DEFINITION_ID.txt
2025-11-09 18:35:52	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: COHORT_DEFINITION] [CDM Field: DEFINITION_TYPE_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 414 An error report has been created at  dqd_output/errors/FIELD_cdmDatatype_COHORT_DEFINITION_DEFINITION_TYPE_CONCEPT_ID.txt
2025-11-09 18:35:52	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: COHORT_DEFINITION] [CDM Field: SUBJECT_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 406 An error report has been created at  dqd_output/errors/FIELD_cdmDatatype_COHORT_DEFINITION_SUBJECT_CONCEPT_ID.txt
2025-11-09 18:36:02	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2025-11-09 18:36:03	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2025-11-09 18:36:03	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isForeignKey] [CDM Table: COHORT_DEFINITION] [CDM Field: COHORT_DEFINITION_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 469 An error report has been created at  dqd_output/errors/FIELD_isForeignKey_COHORT_DEFINITION_COHORT_DEFINITION_ID.txt
2025-11-09 18:36:03	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isForeignKey] [CDM Table: COHORT_DEFINITION] [CDM Field: DEFINITION_TYPE_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 475 An error report has been created at  dqd_output/errors/FIELD_isForeignKey_COHORT_DEFINITION_DEFINITION_TYPE_CONCEPT_ID.txt
2025-11-09 18:36:03	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isForeignKey] [CDM Table: COHORT_DEFINITION] [CDM Field: SUBJECT_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 467 An error report has been created at  dqd_output/errors/FIELD_isForeignKey_COHORT_DEFINITION_SUBJECT_CONCEPT_ID.txt
2025-11-09 18:36:11	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2025-11-09 18:36:13	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2025-11-09 18:36:13	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2025-11-09 18:36:13	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isStandardValidConcept] [CDM Table: COHORT_DEFINITION] [CDM Field: DEFINITION_TYPE_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 417 An error report has been created at  dqd_output/errors/FIELD_isStandardValidConcept_COHORT_DEFINITION_DEFINITION_TYPE_CONCEPT_ID.txt
